,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,DM2SL,DM2MSL,DMZMSL,DM1SL,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1
"1962-3",17.035,0.84599999999999997,5.5670000000000002,5.1669999999999998,2.847,0.23999999999999999,3.9900000000000002,6.1692007320000002,5.3119492920000004,5.3119492920000004,-0.36396726800000001,2.7722851479999999,0.03056,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.26307713799999999,1.1442857099999999,0.20999999999999999,0.11700000000000001,-0.071952481663975609,0.035407196230309301,0.91795248166397558,-0.29848433423030929
"1962-4",17.07,0.82099999999999995,5.5330000000000004,5.0330000000000004,2.923,0.075999999999999998,3.903,7.9321652709999997,7.5242293790000003,7.5242293790000003,2.1788524140000001,3.958128656,0.032000000000000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.97929492299999998,0.98116667000000002,-0.025000000000000001,-0.086999999999999994,-0.30040880296154249,-0.83767890151004498,1.1214088029615423,-0.141616021489955
"1963-1",17.145,1.754,5.7670000000000003,6.5999999999999996,2.9670000000000001,0.043999999999999997,3.8929999999999998,8.8302189010000003,8.2701320079999991,8.2701320079999991,4.1432480319999998,4.4425835180000002,0.028199999999999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.96736221099999997,0.93885246,0.93300000000000005,-0.01,0.70237405046760748,-0.1429390296495876,1.0516259495323925,-0.82442318135041237
"1963-2",17.175000000000001,0.69899999999999995,5.7329999999999997,5.7670000000000003,2.9630000000000001,-0.0040000000000000001,3.9630000000000001,8.6040241470000005,7.4996248730000001,7.4996248730000001,3.657066393,5.2568896909999996,0.026259999999999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.92226005200000005,1.0111111100000001,-1.0549999999999999,0.070000000000000007,-1.1193358754528062,-0.10295197513516308,1.8183358754528061,-0.81930807686483698
"1963-3",17.198,0.53500000000000003,5.5,5.2000000000000002,3.3300000000000001,0.36699999999999999,4.0330000000000004,8.0406481830000001,6.8428871420000004,6.8428871420000004,4.06363919,5.4448499300000002,0.026610000000000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.173171514,0.73078125000000005,-0.16400000000000001,0.070000000000000007,-0.42430562684926032,0.9451769533003449,0.95930562684926035,-0.77200543930034493
"1963-4",17.337,3.2200000000000002,5.5670000000000002,5.0999999999999996,3.4529999999999998,0.123,4.1200000000000001,7.6776467300000002,6.5819382759999998,6.5819382759999998,3.848706709,5.4078200350000003,0.026290000000000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.24740823000000001,0.68770492000000005,2.6850000000000001,0.086999999999999994,2.2829981659489862,-0.49468306355633873,0.937001834051014,0.24727483355633872
"1964-1",17.391999999999999,1.2669999999999999,5.4669999999999996,6.1669999999999998,3.4630000000000001,0.01,4.1799999999999997,6.6284912140000003,6.2959237349999997,6.2959237349999997,2.6030460629999999,5.0388060489999997,0.024080000000000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.78152557899999997,0.72770491999999998,-1.9530000000000001,0.059999999999999998,-1.8412110624389946,0.9505145584797644,3.1082110624389943,-0.16898897947976443
"1964-2",17.431999999999999,0.91900000000000004,5.2000000000000002,5.3330000000000002,3.4900000000000002,0.027,4.2000000000000002,6.7843329020000001,6.4457214929999997,6.4457214929999997,2.7580372139999998,5.5564641379999999,0.0212,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.80774708100000003,0.71796875000000004,-0.34799999999999998,0.02,-0.67296348831144803,-0.0059977449197947674,1.591963488311448,0.8137448259197948
"1964-3",17.501999999999999,1.603,5,4.7329999999999997,3.4569999999999999,-0.033000000000000002,4.1929999999999996,8.9349113130000006,8.1821034650000009,8.1821034650000009,6.4751147700000002,6.0490722999999997,0.023730000000000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3020008709999999,0.75687499999999996,0.68400000000000005,-0.0070000000000000001,0.2913984187031422,0.46341755387021666,1.3116015812968578,0.83858331712978329
"1964-4",17.581,1.8009999999999999,4.9669999999999996,4.5330000000000004,3.577,0.12,4.173,8.1081700459999997,7.8823660999999996,7.8823660999999996,5.205782965,5.6490264779999997,0.02291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.54335978100000004,0.63114753999999995,0.19800000000000001,-0.02,-0.10511497357825106,-0.76263658069967633,1.906114973578251,1.3059963616996764
